Variable Name,Variable Description,Component,Data File Description,flag_1999,flag_2000,flag_2001,flag_2002,flag_2003,flag_2004,flag_2005,flag_2006,flag_2007,flag_2008,flag_2009,flag_2010,flag_2011,flag_2012,flag_2013,flag_2014,flag_2015,flag_2016,num_flags,keep
AIALANG,Language of the MEC ACASI Interview Instrument,Demographics,Demographic Variables & Sample Weights,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8,0
AIALANGA,Language of the MEC ACASI Interview Instrument,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AIALANGA,Language of the MEC ACASI Interview Instrument,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
BG2K,Census 2000 Block Group,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
BG2K,Census 2000 Block Group,Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG2KX,Census 2010 Block Group,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
BG2KX,Census 2010 Block Group,Demographics,"Geocoded Data, NHANES III, Census 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOCK2K,Census 2000 Block ID,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
BLOCK2K,Census 2000 Block ID - first character is the Census Block Group,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
BLOCK2K,Census 2000 Block ID - first character is the Census Block Group,Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOCK2KX,Census 2010 Block ID - first character is the Census Block Group,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
BLOCK2KX,Census 2010 Block ID - first character is the Census Block Group,Demographics,"Geocoded Data, NHANES III, Census 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATVPSU,Variance unit: PSU variable for variance estimation,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
CATVSTRA,Variance unit: stratum variable for variance estimation,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
CBSA,CBSA Lowest Level Code. Contains the first of: Metropolitan Division; Micropolitan Area; Metropolitan Area; in this order,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CBSA,CBSA Lowest Level Code. Contains the first of: Metropolitan Division; Micropolitan Area; Metropolitan Area; in this order,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CBSA,CBSA Lowest Level Code. Contains the first of: Metropolitan Division; Micropolitan Area; Metropolitan Area; in this order,Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBSA,CBSA Lowest Level Code. Contains the first of: Metropolitan Division; Micropolitan Area; Metropolitan Area; in this order,Demographics,"Geocoded Data, NHANES III, Census 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBSA,Core Based Statistical Area (CBSA) Lowest Level Code,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CNTY2K,Census 2000 FIPS County Code,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CNTY2K,Census 2000 FIPS County Code (3-digit numeric with leading zeros significant),Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CNTY2K,Census 2000 FIPS County Code (3-digit numeric with leading zeros significant),Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTY2KX,Census 2010 FIPS County Code (3-digit numeric with leading zeros significant),Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
CNTY2KX,Census 2010 FIPS County Code (3-digit numeric with leading zeros significant),Demographics,"Geocoded Data, NHANES III, Census 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMAETHN,Logical Imputation Flag for Ethnicity,Demographics,Demographic Variables & Sample Weights,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DMARACE,Logical Imputation Flag for Race Recode,Demographics,Demographic Variables & Sample Weights,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DMDBORN,In what country {were you/was SP} born?,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
